Date,SP500,UKX GBP,Nikkei JPY,DAX EUR,CAC 40 EUR,Brent,XAU COMPN CURNCY,DXY,USGB090Y,GBTF3MO,GETB1 Index,GJGB3M,shsz300,CPURNSA,ECCPEMUY,CNCPIYOY,ECMSM3,UKMSM41,FED M2,CNMSM2
4/30/2015,0.008520763,0.027696573,0.016297192,-0.042769742,0.002552825,0.211758302,0.000582928,-0.038197586,-0.839681134,0.18152662,0.176282051,-3.8,0.172464949,0.002032873,-1,0.071428571,0.009786836,-1,0.003694831,0.004270572
5/29/2015,0.010491439,0.003419231,0.053439522,-0.003541004,-0.007648881,-0.018268943,0.005217964,0.024386892,-1.472375691,0.045602606,-0.100817439,-1.142857143,0.019145707,0.005097232,0,-0.2,0.003483925,0,0.002908003,0.0207519
6/30/2015,-0.021011773,-0.066354735,-0.015922658,-0.041077396,-0.043469405,-0.03004881,-0.015228256,-0.014673863,-1.608187135,-0.065939772,-0.096969697,1,-0.075984903,0.00350287,-0.333333333,0.166666667,0.000229252,-1.5,0.003737597,0.019900904
7/31/2015,0.01974204,0.026882462,0.017271924,0.033259114,0.06104338,-0.178958956,-0.065334948,0.019385244,53.09615385,0.15397443,0.046979866,-0.75,-0.146724793,6.70472E-05,0,0.142857143,0.006998801,-3,0.004483444,0.014876232
8/31/2015,-0.062580805,-0.066953592,-0.082328892,-0.092804928,-0.084535308,0.037157633,0.035580661,-0.015533821,0.073409172,0.001926782,0.060897436,1,-0.117944821,-0.001416276,-0.5,0.25,-0.000353596,-1.333333333,0.004230702,0.002732094
9/30/2015,-0.02644282,-0.02982263,-0.079528419,-0.058387089,-0.042480577,-0.106740536,-0.017394982,0.00548923,-0.915217751,-0.047596154,0.135951662,-11.5,-0.048592917,-0.001556757,-2,-0.2,-0.000561716,2,0.004386691,0.002149077
10/30/2015,0.082983078,0.049406016,0.097477305,0.123151741,0.099290955,0.024602026,0.024294439,0.006185781,10.32226563,0.346289753,-0.015957447,-1.047619048,0.103382819,-0.000449684,-2,-0.1875,0.010180371,-1.333333333,0.001096003,0.00088004
11/30/2015,0.000504963,-0.000786029,0.034814574,0.04903992,0.012238498,-0.099878935,-0.067757582,0.033255627,1.677936864,0.284589426,0.172972973,-68,0.009148067,-0.00211068,0,0.153846154,0.006087812,2,0.008445626,0.009503969
12/31/2015,-0.017530198,-0.017899369,-0.036144377,-0.05615947,-0.064656285,-0.164312934,-0.003146219,-0.015363881,0.192604999,0.308523059,0.241935484,-0.492537313,0.04615005,-0.003417096,1,0.066666667,-0.000103215,-0.5,0.004922087,0.013335363
1/29/2016,-0.050735344,-0.025396007,-0.079617163,-0.087954866,-0.047452481,-0.068133047,0.053466111,0.00988533,0.629955709,-0.166852554,-0.116883117,-0.117647059,-0.210375235,0.001653102,0.5,0.125,0.006250017,2.333333333,0.010583859,0.017267671
2/29/2016,-0.004128355,0.002186137,-0.085141823,-0.030894734,-0.014369416,0.035405872,0.107827969,-0.01400518,0.043808198,0.123427041,0.256302521,1.966666667,-0.023291889,0.000823077,-1.666666667,0.277777778,0.003118903,1.2,0.005489692,0.005859624
3/31/2016,0.065991109,0.012761826,0.045667995,0.049509236,0.007237771,0.100917431,-0.00486785,-0.036910326,-0.331089876,0.011677788,-0.015050167,0.056179775,0.118374822,0.004306,-1,0,0.00247412,-0.318181818,0.005827431,0.015147493
